animal,date,stim,start,end,score
AM304,11/1/2018,1,15:29:00,15:31:00,3+
AM304,11/2/2018,2,14:39:30,14:41:30,3+
AM304,11/3/2018,3,14:10:32,14:12:32,2-
AM304,11/4/2018,4,13:27:00,13:29:00,4
AM304,11/5/2018,5,15:49:00,15:51:00,2
AM304,11/6/2018,6,13:17:00,13:19:00,1
AM304,11/6/2018,,13:23:32,13:25:32,2
AM304,11/7/2018,7,14:49:15,14:51:15,2-
AM304,11/8/2018,8,13:01:00,13:03:00,1
AM304,11/8/2018,,13:08:02,13:08:30,3
AM304,11/9/2018,9,13:39:00,13:41:00,1-
AM304,11/9/2018,,13:45:04,13:47:03,2
AM304,11/10/2018,10,13:02:10,13:04:10,0
AM304,11/10/2018,,13:06:00,13:08:10,0
AM305,11/10/2018,1,13:16:15,13:18:19,2+
AM305,11/11/2018,2,12:58:00,13:00:00,0
AM305,11/11/2018,,13:01:30,13:03:30,2
AM305,11/12/2018,3,14:21:45,14:23:45,1-
AM305,11/12/2018,,14:32:35,14:34:35,3
AM305,11/13/2018,4,12:31:00,12:33:00,0
AM305,11/13/2018,,12:39:00,12:41:00,3
AM305,11/14/2018,5,14:37:10,14:39:10,0
AM305,11/14/2018,,14:40:45,14:42:47,2
AM305,11/15/2018,6,14:45:50,14:47:50,0
AM305,11/15/2018,,14:49:10,14:51:10,1
AM305,11/16/2018,7,14:34:15,14:36:15,2
AM305,11/17/2018,8,14:30:25,14:32:25,0
AM305,11/17/2018,,14:36:00,14:38:00,3
AM305,11/18/2018,9,16:14:15,16:16:15,1-
AM305,11/18/2018,,16:18:45,16:20:45,2
AM305,11/19/2018,10,12:24:32,12:26:32,1
AM305,11/19/2018,,12:29:05,12:31:12,0
